Título,Año,País
Niñera moderna,1948,USA
La ciudad de la alegría,1992,France
The Closer - Temporada 1,,
The Closer - Temporada 1,2005,USA
Wallander - Temporada 1,2008,UK
Wallander - Temporada 1,2005,Sweden
Cantando bajo la lluvia (x2),1952,USA
Mientras Nueva York duerme,1956,USA
La ley del silencio,1954,USA
Papá está en viaje de negocios,1985,Yugoslavia
Escrito sobre el viento,1956,USA
El amigo americano,1977,West Germany
"E.T., el extraterrestre",1982,USA
Matrimonio a la italiana,1964,Italy
Pa negre,2010,Spain
Una historia del Bronx,1993,USA
La muerte tenía un precio,1965,Italy
Me siento rejuvenecer,1952,USA
Los caballeros las prefieren r,1953,USA
El prestamista,1964,USA
Larga jornada hacia la noche,1962,USA
Breve encuentro,1945,UK
Bus Stop,1956,USA
"Kagemusha, la sombra del guerr",1980,Japan
El multimillonario,1960,USA
La escapada,1962,Italy
Círculo rojo,1970,France
El rey del rodeo,1972,USA
El sol documental,2010,USA
El capitán Blood,1935,USA
"Yo, también",2009,Spain
Good,2008,UK
Patton,1970,USA
"Tora, Tora, Tora",1970,USA
Náufragos,1944,USA
Mensaka,1998,Spain
El beso de la mujer araña,1985,Brazil
Esperanza y gloria,1987,UK
La carta esférica,2007,Spain
"Bicicleta, cullera, poma",2010,Spain
Vivir,1994,China
La soga,1948,USA
Frenesí,1972,UK
Un corazón en peligro,1944,USA
La legión invencible,1949,USA
La caída de la casa Usher,1960,USA
"Gary Cooper, que estás en los",1980,Spain
Valkiria,2008,USA
Asesinato en 8mm.,1999,USA
Millennium 1: Los hombres que,2009,Sweden
Millennium 2: La chica que soñ,2009,Sweden
Millennium 3 - La reina en el,2009,Sweden
La evasión,1960,France
El Bazar de las sorpresas,1940,USA
El viaje fantástico de Simbad,1973,USA
Sinbad y el ojo del tigre,1977,USA
El último golpe (2),2001,Cañada
El secreto de sus ojos,2009,Argentina
The Italian Job,2003,USA
El vuelo del Fénix,1965,USA
Yuma/ Rum of the arrow,,
Yuma,1957,USA
Divorcio a la italiana,1961,Italy
El informe Pelícano,1993,USA
Mi vida sin mí,2003,Spain
Chinatown,1974,USA
La soledad,2007,Spain
Presunto inocente,1990,USA
Ojos negros,1987,Italy
El Decamerón (trilogía de la,1971,Italy
I racconti di Canterbury (trio,1972,Italy
Las mil y una noches (trilog,1974,Italy
Salvatore Giuliano,1962,Italy
Gattaca,1997,USA
El gran Gatsby,1974,
El truco del manco,2008,
El árbol de los zuecos,1978,
un maldito embrollo,1959,
Esperando a Mr. Bridge,,
El mundo en sus manos,,
El mundo en sus manos,1952,USA
De Dioses y Hombres,2010,Francia
El hombre de Laramie,1955,Usa
El discurso del Rey,2010,Ru y Australia
Siempre hay un mañana,1956,USA
Ninotchka,1939,USA
Copia Certificada,2010,Francia/Italia
El Abuelo,1998,España
Vacas,2004,España
Hamsun,1996,Alemania
La milla verde,1999,USA
Escuchando a Garzón,2010,España
El pricipe de nías mareas,1992,Usa
El misterio de Palé chorse,1996,UK
Atrapa a un ladrón,1954,Usa
El último pistolero,1976,USA
Margen de error,1943,USA
Dame un poco de amoor,,
Gorilas en la niebla,1988,USA
